year,state,crime_rate
1970 ,National,363.5 
1971 ,National,396.0 
1972 ,National,401.0 
1973 ,National,417.4 
1974 ,National,461.1 
1975 ,National,487.8 
1976 ,National,467.8 
1977 ,National,475.9 
1978 ,National,497.8 
1979 ,National,548.9 
1980 ,National,596.6 
1981 ,National,594.3 
1982 ,National,571.1 
1983 ,National,537.7 
1984 ,National,539.2 
1985 ,National,556.6 
1986 ,National,620.1 
1987 ,National,609.7 
1988 ,National,637.2 
1989 ,National,663.1 
1990 ,National,731.8 
1991 ,National,758.1 
1992 ,National,757.5 
1993 ,National,746.8 
1994 ,National,713.6 
1995 ,National,684.5 
1996 ,National,636.6 
1997 ,National,611.0 
1998 ,National,566.4 
1999 ,National,523
2000 ,National,506.5 
2001,National,504.5
2002 ,National,494.4
2003 ,National,475.8 
2004 ,National,463.2 
2005 ,National,469.0 
2006 ,National,473.6 
2007 ,National,466.9 
2008 ,National,457.5 
2009 ,National,431.9
2010,National,404.5
2011,National,387.1
2012,National,387.8
2013,National,379.1
2014,National,372
2015,National,384.6
2016,National,397.5
2017,National,394.9
2018,National,383.4
2019,National,379.4
1970,Alabama,295.7
1970,Alaska,278.0
1970,Arizona,370.3
1970,Arkansas,222.3
1970,California,474.8
1970,Colorado,356.7
1970,Connecticut,170.4
1970,Delaware,327.5
1970,Florida,498.2
1970,Georgia,304.5
1970,Hawaii,121.8
1970,Idaho,123.3
1970,Illinois,467.9
1970,Indiana,234.6
1970,Iowa,79.3
1970,Kansas,202.8
1970,Kentucky,222.3
1970,Louisiana,413.5
1970,Maine,89.3
1970,Maryland,624.9
1970,Massachusetts,202.9
1970,Michigan,575.7
1970,Minnesota,152.0
1970,Mississippi,179.3
1970,Missouri,405.9
1970,Montana,111.5
1970,Nebraska,184.1
1970,Nevada,398.6
1970,New Hampshire,56.0
1970,New Jersey,287.1
1970,New Mexico,304.4
1970,New York,685.0
1970,North Carolina,370.2
1970,North Dakota,34.2
1970,Ohio,284.3
1970,Oklahoma,202.9
1970,Oregon,256.9
1970,Pennsylvania,220.2
1970,Rhode Island,204.7
1970,South Carolina,286.1
1970,South Dakota,92.5
1970,Tennessee,274.9
1970,Texas,365.3
1970,Utah,137.7
1970,Vermont,74.0
1970,Virginia,302.0
1970,Washington,221.3
1970,West Virginia,123.7
1970,Wisconsin,85.8
1970,Wyoming,113.1
1971,Alabama,311.4
1971,Alaska,355.3
1971,Arizona,400.6
1971,Arkansas,240.7
1971,California,518.6
1971,Colorado,373.6
1971,Connecticut,193.7
1971,Delaware,369.2
1971,Florida,547.9
1971,Georgia,340.9
1971,Hawaii,231.9
1971,Idaho,125.3
1971,Illinois,477.3
1971,Indiana,247.1
1971,Iowa,98.9
1971,Kansas,214.5
1971,Kentucky,235.1
1971,Louisiana,413.1
1971,Maine,90.0
1971,Maryland,621.4
1971,Massachusetts,266.0
1971,Michigan,574.6
1971,Minnesota,154.4
1971,Mississippi,276.3
1971,Missouri,386.5
1971,Montana,137.1
1971,Nebraska,155.8
1971,Nevada,372.2
1971,New Hampshire,76.1
1971,New Jersey,362.2
1971,New Mexico,387.8
1971,New York,788.7
1971,North Carolina,387.7
1971,North Dakota,38.1
1971,Ohio,298.4
1971,Oklahoma,257.4
1971,Oregon,293.6
1971,Pennsylvania,268.7
1971,Rhode Island,221.8
1971,South Carolina,311.7
1971,South Dakota,96.1
1971,Tennessee,313.8
1971,Texas,376.0
1971,Utah,153.7
1971,Vermont,72.7
1971,Virginia,326.3
1971,Washington,236.4
1971,West Virginia,131.9
1971,Wisconsin,88.4
1971,Wyoming,156.5
1972,Alabama,313.2
1972,Alaska,370.5
1972,Arizona,448.9
1972,Arkansas,244.7
1972,California,540.7
1972,Colorado,405.4
1972,Connecticut,199.2
1972,Delaware,386.0
1972,Florida,554.5
1972,Georgia,377.6
1972,Hawaii,155.5
1972,Idaho,143.5
1972,Illinois,508.1
1972,Indiana,245.1
1972,Iowa,87.4
1972,Kansas,209.8
1972,Kentucky,225.7
1972,Louisiana,422.4
1972,Maine,111.1
1972,Maryland,651.2
1972,Massachusetts,295.2
1972,Michigan,555.2
1972,Minnesota,174.5
1972,Mississippi,312.7
1972,Missouri,383.4
1972,Montana,150.1
1972,Nebraska,173.0
1972,Nevada,429.6
1972,New Hampshire,63.7
1972,New Jersey,374.3
1972,New Mexico,431.7
1972,New York,754.3
1972,North Carolina,423.6
1972,North Dakota,45.9
1972,Ohio,299.4
1972,Oklahoma,238.8
1972,Oregon,297.6
1972,Pennsylvania,277.1
1972,Rhode Island,250.4
1972,South Carolina,386.9
1972,South Dakota,111.3
1972,Tennessee,319.0
1972,Texas,354.4
1972,Utah,183.2
1972,Vermont,96.3
1972,Virginia,346.0
1972,Washington,250.6
1972,West Virginia,129.1
1972,Wisconsin,96.4
1972,Wyoming,148.1
1973,Alabama,350.1
1973,Alaska,384.5
1973,Arizona,479.9
1973,Arkansas,289.9
1973,California,565.8
1973,Colorado,414.0
1973,Connecticut,208.7
1973,Delaware,350.0
1973,Florida,604.6
1973,Georgia,412.4
1973,Hawaii,155.6
1973,Idaho,164.2
1973,Illinois,555.9
1973,Indiana,257.6
1973,Iowa,102.3
1973,Kansas,217.5
1973,Kentucky,220.1
1973,Louisiana,425.6
1973,Maine,122.4
1973,Maryland,641.1
1973,Massachusetts,351.9
1973,Michigan,585.2
1973,Minnesota,177.7
1973,Mississippi,339.1
1973,Missouri,408.7
1973,Montana,167.4
1973,Nebraska,185.4
1973,Nevada,572.1
1973,New Hampshire,82.0
1973,New Jersey,391.9
1973,New Mexico,471.9
1973,New York,741.7
1973,North Carolina,437.8
1973,North Dakota,60.8
1973,Ohio,291.7
1973,Oklahoma,246.2
1973,Oregon,292.7
1973,Pennsylvania,272.2
1973,Rhode Island,282.5
1973,South Carolina,394.6
1973,South Dakota,126.9
1973,Tennessee,358.0
1973,Texas,385.4
1973,Utah,208.5
1973,Vermont,70.5
1973,Virginia,332.7
1973,Washington,271.5
1973,West Virginia,123.7
1973,Wisconsin,115.4
1973,Wyoming,216.1
1974,Alabama,372.9
1974,Alaska,453.1
1974,Arizona,566.7
1974,Arkansas,316.2
1974,California,610.6
1974,Colorado,429.8
1974,Connecticut,228.1
1974,Delaware,443.1
1974,Florida,677.6
1974,Georgia,442.2
1974,Hawaii,208.0
1974,Idaho,183.4
1974,Illinois,627.1
1974,Indiana,293.3
1974,Iowa,121.0
1974,Kansas,276.3
1974,Kentucky,234.0
1974,Louisiana,472.7
1974,Maine,137.5
1974,Maryland,719.1
1974,Massachusetts,388.7
1974,Michigan,659.4
1974,Minnesota,207.3
1974,Mississippi,334.9
1974,Missouri,452.4
1974,Montana,162.4
1974,Nebraska,239.6
1974,Nevada,682.4
1974,New Hampshire,91.5
1974,New Jersey,403.4
1974,New Mexico,450.4
1974,New York,803.0
1974,North Carolina,488.9
1974,North Dakota,50.1
1974,Ohio,364.1
1974,Oklahoma,280.1
1974,Oregon,367.4
1974,Pennsylvania,315.0
1974,Rhode Island,282.9
1974,South Carolina,455.7
1974,South Dakota,180.9
1974,Tennessee,386.8
1974,Texas,390.1
1974,Utah,214.6
1974,Vermont,75.1
1974,Virginia,356.8
1974,Washington,346.3
1974,West Virginia,137.4
1974,Wisconsin,140.4
1974,Wyoming,144.6
1975,Alabama,392.9
1975,Alaska,539.8
1975,Arizona,547.8
1975,Arkansas,348.3
1975,California,655.4
1975,Colorado,463.1
1975,Connecticut,268.4
1975,Delaware,392.1
1975,Florida,688.5
1975,Georgia,459.0
1975,Hawaii,218.4
1975,Idaho,203.7
1975,Illinois,670.2
1975,Indiana,332.8
1975,Iowa,140.7
1975,Kansas,278.2
1975,Kentucky,264.0
1975,Louisiana,478.4
1975,Maine,219.5
1975,Maryland,709.8
1975,Massachusetts,442.6
1975,Michigan,685.7
1975,Minnesota,207.0
1975,Mississippi,315.9
1975,Missouri,493.8
1975,Montana,189.6
1975,Nebraska,257.8
1975,Nevada,678.7
1975,New Hampshire,99.8
1975,New Jersey,413.0
1975,New Mexico,534.8
1975,New York,856.4
1975,North Carolina,436.5
1975,North Dakota,53.1
1975,Ohio,408.0
1975,Oklahoma,303.3
1975,Oregon,438.5
1975,Pennsylvania,329.2
1975,Rhode Island,302.3
1975,South Carolina,511.4
1975,South Dakota,205.3
1975,Tennessee,397.0
1975,Texas,390.6
1975,Utah,231.8
1975,Vermont,95.1
1975,Virginia,380.9
1975,Washington,390.8
1975,West Virginia,161.7
1975,Wisconsin,151.8
1975,Wyoming,204.3
1976,Alabama,388.8
1976,Alaska,540.1
1976,Arizona,455.3
1976,Arkansas,303.9
1976,California,669.3
1976,Colorado,417.0
1976,Connecticut,273.2
1976,Delaware,321.6
1976,Florida,648.3
1976,Georgia,423.1
1976,Hawaii,229.3
1976,Idaho,226.7
1976,Illinois,625.8
1976,Indiana,315.4
1976,Iowa,132.9
1976,Kansas,282.6
1976,Kentucky,262.2
1976,Louisiana,472.8
1976,Maine,220.0
1976,Maryland,633.4
1976,Massachusetts,399.2
1976,Michigan,646.0
1976,Minnesota,189.0
1976,Mississippi,295.4
1976,Missouri,449.4
1976,Montana,180.3
1976,Nebraska,210.5
1976,Nevada,691.0
1976,New Hampshire,86.3
1976,New Jersey,396.8
1976,New Mexico,554.4
1976,New York,868.1
1976,North Carolina,403.4
1976,North Dakota,71.9
1976,Ohio,388.7
1976,Oklahoma,286.6
1976,Oregon,457.4
1976,Pennsylvania,294.9
1976,Rhode Island,299.8
1976,South Carolina,599.2
1976,South Dakota,186.2
1976,Tennessee,393.3
1976,Texas,355.7
1976,Utah,220.6
1976,Vermont,118.3
1976,Virginia,307.7
1976,Washington,388.6
1976,West Virginia,151.6
1976,Wisconsin,137.7
1976,Wyoming,218.2
1977,Alabama,414.4
1977,Alaska,443.2
1977,Arizona,494.2
1977,Arkansas,322.9
1977,California,706.0
1977,Colorado,511.9
1977,Connecticut,282.3
1977,Delaware,382.1
1977,Florida,686.8
1977,Georgia,439.8
1977,Hawaii,224.8
1977,Idaho,236.9
1977,Illinois,630.6
1977,Indiana,310.6
1977,Iowa,144.0
1977,Kansas,309.8
1977,Kentucky,233.6
1977,Louisiana,524.8
1977,Maine,224.7
1977,Maryland,693.8
1977,Massachusetts,425.3
1977,Michigan,584.7
1977,Minnesota,193.8
1977,Mississippi,288.7
1977,Missouri,460.4
1977,Montana,218.0
1977,Nebraska,199.4
1977,Nevada,743.0
1977,New Hampshire,113.1
1977,New Jersey,392.0
1977,New Mexico,500.9
1977,New York,831.8
1977,North Carolina,407.1
1977,North Dakota,67.1
1977,Ohio,406.7
1977,Oklahoma,316.6
1977,Oregon,455.8
1977,Pennsylvania,282.8
1977,Rhode Island,301.6
1977,South Carolina,636.2
1977,South Dakota,189.1
1977,Tennessee,389.5
1977,Texas,407.7
1977,Utah,240.0
1977,Vermont,149.5
1977,Virginia,290.0
1977,Washington,374.9
1977,West Virginia,152.3
1977,Wisconsin,131.5
1977,Wyoming,240.9
1978,Alabama,419.1
1978,Alaska,441.9
1978,Arizona,552.1
1978,Arkansas,344.1
1978,California,742.9
1978,Colorado,498.0
1978,Connecticut,315.0
1978,Delaware,440.7
1978,Florida,765.6
1978,Georgia,482.8
1978,Hawaii,270.1
1978,Idaho,236.4
1978,Illinois,676.7
1978,Indiana,323.5
1978,Iowa,161.4
1978,Kansas,318.2
1978,Kentucky,223.2
1978,Louisiana,584.9
1978,Maine,207.7
1978,Maryland,732.0
1978,Massachusetts,462.0
1978,Michigan,577.2
1978,Minnesota,189.6
1978,Mississippi,321.2
1978,Missouri,467.9
1978,Montana,237.6
1978,Nebraska,190.5
1978,Nevada,780.8
1978,New Hampshire,118.8
1978,New Jersey,423.5
1978,New Mexico,528.2
1978,New York,841.0
1978,North Carolina,413.4
1978,North Dakota,67.0
1978,Ohio,412.7
1978,Oklahoma,353.0
1978,Oregon,502.4
1978,Pennsylvania,301.1
1978,Rhode Island,348.1
1978,South Carolina,637.6
1978,South Dakota,163.5
1978,Tennessee,382.6
1978,Texas,435.3
1978,Utah,271.8
1978,Vermont,166.3
1978,Virginia,286.4
1978,Washington,405.3
1978,West Virginia,167.7
1978,Wisconsin,132.2
1978,Wyoming,280.4
1979,Alabama,413.3
1979,Alaska,491.1
1979,Arizona,593.0
1979,Arkansas,366.2
1979,California,811.1
1979,Colorado,522.1
1979,Connecticut,414.2
1979,Delaware,537.3
1979,Florida,833.9
1979,Georgia,558.7
1979,Hawaii,289.7
1979,Idaho,288.7
1979,Illinois,743.9
1979,Indiana,338.0
1979,Iowa,181.2
1979,Kansas,353.6
1979,Kentucky,248.0
1979,Louisiana,676.3
1979,Maine,202.5
1979,Maryland,795.5
1979,Massachusetts,531.3
1979,Michigan,614.2
1979,Minnesota,221.0
1979,Mississippi,323.6
1979,Missouri,527.2
1979,Montana,224.2
1979,Nebraska,225.9
1979,Nevada,835.6
1979,New Hampshire,139.9
1979,New Jersey,501.2
1979,New Mexico,586.0
1979,New York,917.4
1979,North Carolina,446.1
1979,North Dakota,61.3
1979,Ohio,457.5
1979,Oklahoma,405.2
1979,Oregon,545.4
1979,Pennsylvania,333.6
1979,Rhode Island,375.1
1979,South Carolina,678.3
1979,South Dakota,159.1
1979,Tennessee,414.0
1979,Texas,507.9
1979,Utah,304.2
1979,Vermont,184.2
1979,Virginia,301.0
1979,Washington,434.6
1979,West Virginia,168.1
1979,Wisconsin,166.1
1979,Wyoming,350.9
1980,Alabama,448.5
1980,Alaska,436.0
1980,Arizona,650.9
1980,Arkansas,335.2
1980,California,893.6
1980,Colorado,528.6
1980,Connecticut,412.5
1980,Delaware,474.8
1980,Florida,983.5
1980,Georgia,555.3
1980,Hawaii,299.5
1980,Idaho,313.4
1980,Illinois,808.0
1980,Indiana,377.8
1980,Iowa,200.4
1980,Kansas,389.3
1980,Kentucky,266.7
1980,Louisiana,665.0
1980,Maine,193.4
1980,Maryland,852.4
1980,Massachusetts,601.3
1980,Michigan,639.5
1980,Minnesota,227.8
1980,Mississippi,341.9
1980,Missouri,554.5
1980,Montana,222.6
1980,Nebraska,224.6
1980,Nevada,912.6
1980,New Hampshire,179.8
1980,New Jersey,604.4
1980,New Mexico,615.0
1980,New York,1029.5
1980,North Carolina,455.0
1980,North Dakota,54.0
1980,Ohio,498.3
1980,Oklahoma,419.5
1980,Oregon,490.4
1980,Pennsylvania,363.9
1980,Rhode Island,408.5
1980,South Carolina,660.0
1980,South Dakota,126.8
1980,Tennessee,458.1
1980,Texas,550.3
1980,Utah,303.3
1980,Vermont,178.8
1980,Virginia,307.2
1980,Washington,464.3
1980,West Virginia,183.7
1980,Wisconsin,182.6
1980,Wyoming,392.6
1981,Alabama,470.5
1981,Alaska,615.8
1981,Arizona,575.8
1981,Arkansas,310.3
1981,California,863.0
1981,Colorado,531.7
1981,Connecticut,448.1
1981,Delaware,509.0
1981,Florida,965.1
1981,Georgia,548.2
1981,Hawaii,247.6
1981,Idaho,283.3
1981,Illinois,792.5
1981,Indiana,341.6
1981,Iowa,204.2
1981,Kansas,369.4
1981,Kentucky,289.5
1981,Louisiana,638.3
1981,Maine,195.6
1981,Maryland,887.1
1981,Massachusetts,628.6
1981,Michigan,641.9
1981,Minnesota,228.5
1981,Mississippi,304.6
1981,Missouri,540.2
1981,Montana,253.0
1981,Nebraska,181.5
1981,Nevada,896.4
1981,New Hampshire,147.1
1981,New Jersey,630.6
1981,New Mexico,671.7
1981,New York,1069.6
1981,North Carolina,436.7
1981,North Dakota,67.5
1981,Ohio,496.6
1981,Oklahoma,426.8
1981,Oregon,478.7
1981,Pennsylvania,371.7
1981,Rhode Island,441.7
1981,South Carolina,640.4
1981,South Dakota,104.8
1981,Tennessee,412.6
1981,Texas,532.4
1981,Utah,298.6
1981,Vermont,128.0
1981,Virginia,321.7
1981,Washington,447.3
1981,West Virginia,174.8
1981,Wisconsin,187.9
1981,Wyoming,430.1
1982,Alabama,447.7
1982,Alaska,623.7
1982,Arizona,517.0
1982,Arkansas,324.7
1982,California,814.7
1982,Colorado,504.2
1982,Connecticut,399.5
1982,Delaware,559.8
1982,Florida,896.8
1982,Georgia,478.2
1982,Hawaii,255.7
1982,Idaho,259.2
1982,Illinois,774.3
1982,Indiana,300.6
1982,Iowa,172.7
1982,Kansas,335.9
1982,Kentucky,315.0
1982,Louisiana,669.1
1982,Maine,163.0
1982,Maryland,850.0
1982,Massachusetts,571.4
1982,Michigan,656.6
1982,Minnesota,219.3
1982,Mississippi,294.6
1982,Missouri,506.5
1982,Montana,224.8
1982,Nebraska,229.6
1982,Nevada,805.4
1982,New Hampshire,124.8
1982,New Jersey,607.4
1982,New Mexico,734.5
1982,New York,990.1
1982,North Carolina,446.3
1982,North Dakota,61.8
1982,Ohio,436.7
1982,Oklahoma,443.9
1982,Oregon,473.0
1982,Pennsylvania,360.4
1982,Rhode Island,401.8
1982,South Carolina,720.0
1982,South Dakota,99.0
1982,Tennessee,421.1
1982,Texas,577.1
1982,Utah,285.7
1982,Vermont,126.9
1982,Virginia,309.1
1982,Washington,406.4
1982,West Virginia,174.8
1982,Wisconsin,190.5
1982,Wyoming,304.2
1983,Alabama,416.0
1983,Alaska,613.8
1983,Arizona,494.2
1983,Arkansas,297.7
1983,California,772.6
1983,Colorado,476.4
1983,Connecticut,375.0
1983,Delaware,453.1
1983,Florida,826.7
1983,Georgia,456.7
1983,Hawaii,252.1
1983,Idaho,238.7
1983,Illinois,728.1
1983,Indiana,283.8
1983,Iowa,181.1
1983,Kansas,326.6
1983,Kentucky,322.2
1983,Louisiana,640.9
1983,Maine,159.6
1983,Maryland,807.1
1983,Massachusetts,576.8
1983,Michigan,716.7
1983,Minnesota,190.9
1983,Mississippi,280.4
1983,Missouri,477.2
1983,Montana,212.6
1983,Nebraska,217.7
1983,Nevada,655.2
1983,New Hampshire,125.1
1983,New Jersey,553.1
1983,New Mexico,686.8
1983,New York,914.1
1983,North Carolina,409.6
1983,North Dakota,53.7
1983,Ohio,397.9
1983,Oklahoma,423.4
1983,Oregon,487.8
1983,Pennsylvania,342.8
1983,Rhode Island,355.2
1983,South Carolina,616.8
1983,South Dakota,120.0
1983,Tennessee,402.0
1983,Texas,512.2
1983,Utah,256.0
1983,Vermont,132.6
1983,Virginia,292.5
1983,Washington,371.8
1983,West Virginia,171.8
1983,Wisconsin,190.9
1983,Wyoming,237.2
1984,Alabama,431.2
1984,Alaska,621.6
1984,Arizona,516.1
1984,Arkansas,321.4
1984,California,763.4
1984,Colorado,457.8
1984,Connecticut,393.8
1984,Delaware,435.7
1984,Florida,868.0
1984,Georgia,478.6
1984,Hawaii,231.9
1984,Idaho,235.3
1984,Illinois,724.9
1984,Indiana,305.2
1984,Iowa,198.7
1984,Kansas,334.2
1984,Kentucky,277.8
1984,Louisiana,678.0
1984,Maine,158.5
1984,Maryland,792.3
1984,Massachusetts,523.7
1984,Michigan,760.1
1984,Minnesota,211.5
1984,Mississippi,282.0
1984,Missouri,460.7
1984,Montana,237.6
1984,Nebraska,225.8
1984,Nevada,628.5
1984,New Hampshire,133.9
1984,New Jersey,527.7
1984,New Mexico,688.1
1984,New York,914.3
1984,North Carolina,403.6
1984,North Dakota,53.6
1984,Ohio,385.3
1984,Oklahoma,407.5
1984,Oregon,506.1
1984,Pennsylvania,320.6
1984,Rhode Island,334.7
1984,South Carolina,624.5
1984,South Dakota,147.5
1984,Tennessee,445.4
1984,Texas,505.0
1984,Utah,244.2
1984,Vermont,145.1
1984,Virginia,295.6
1984,Washington,406.4
1984,West Virginia,168.2
1984,Wisconsin,196.5
1984,Wyoming,242.1
1985,Alabama,457.5
1985,Alaska,581.8
1985,Arizona,602.5
1985,Arkansas,347.6
1985,California,765.3
1985,Colorado,471.0
1985,Connecticut,402.0
1985,Delaware,433.3
1985,Florida,941.1
1985,Georgia,507.2
1985,Hawaii,219.4
1985,Idaho,234.8
1985,Illinois,714.8
1985,Indiana,309.4
1985,Iowa,211.7
1985,Kansas,355.8
1985,Kentucky,305.5
1985,Louisiana,694.2
1985,Maine,167.5
1985,Maryland,834.6
1985,Massachusetts,538.2
1985,Michigan,734.1
1985,Minnesota,256.4
1985,Mississippi,270.9
1985,Missouri,503.5
1985,Montana,208.5
1985,Nebraska,237.9
1985,Nevada,667.1
1985,New Hampshire,140.8
1985,New Jersey,544.5
1985,New Mexico,703.9
1985,New York,929.9
1985,North Carolina,420.9
1985,North Dakota,47.0
1985,Ohio,381.6
1985,Oklahoma,422.0
1985,Oregon,551.1
1985,Pennsylvania,331.1
1985,Rhode Island,346.6
1985,South Carolina,631.0
1985,South Dakota,136.6
1985,Tennessee,474.4
1985,Texas,550.0
1985,Utah,267.4
1985,Vermont,147.7
1985,Virginia,294.7
1985,Washington,425.4
1985,West Virginia,166.0
1985,Wisconsin,206.9
1985,Wyoming,256.8
1986,Maryland,833.0
1987,Maryland,767.8
1988,Maryland,806.8
1989,Maryland,855.4
1990,Maryland,919.0
1991,Maryland,956.2
1992,Maryland,1000.1
1993,Maryland,997.8
1994,Maryland,948.0
1995,Maryland,986.9
1996,Maryland,931.2
1997,Maryland,846.6
1998,Maryland,796.6
1999,Maryland,743.4
2000,Maryland,786.6
2001,Maryland,781.4
2002,Maryland,770.8
